No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,3,4,5,6,7,8,9,10,Sum
1, (1.00),M,0,ARS, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   , -   
2, 0.41 ,M,Saka,ARS, 9.5 , 75.88 , 0.065 , 4.97 ,100%, 6.19 , 5.62 , 4.92 , 6.02 , 5.09 , 5.73 , 4.54 , 6.31 , 44.42 
3, 0.03 ,M,Merino,ARS, 5.9 , 23.03 , 0.054 , 1.34 ,100%, 1.37 , 1.26 , 1.12 , 1.36 , 1.11 , 1.22 , 0.93 , 1.28 , 9.65 
4, 0.12 ,M,Bruno Guimarães,ARS, 6.9 , 59.54 , 0.043 , 2.83 ,100%, 2.04 , 2.99 , 2.75 , 3.26 , 2.80 , 3.09 , 2.51 , 3.34 , 22.76 
5, 0.17 ,M,Tzolis,ARS, 6.5 , 51.61 , 0.060 , 3.07 ,100%, 3.70 , 3.15 , 2.66 , 3.28 , 2.74 , 3.08 , 2.39 , 3.37 , 24.37 
6, (1.00),M,0,ARS, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   , -   
7, 0.23 ,M,Odegaard,ARS, 6.6 , 67.26 , 0.052 , 3.51 ,100%, 3.83 , 3.50 , 3.09 , 3.81 , 3.19 , 3.61 , 2.82 , 3.97 , 27.82 
8, (0.02),M,Nwaneri,ARS, 5.4 , -   , 0.048 , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   , -   
9, 0.29 ,M,Rice,ARS, 7.5 , 79.96 , 0.045 , 3.61 ,100%, 4.52 , 4.19 , 3.76 , 4.36 , 3.82 , 4.16 , 3.48 , 4.45 , 32.73 
10, 0.02 ,M,Madueke,ARS, 6.3 , 19.27 , 0.058 , 1.37 ,100%, 0.96 , 1.09 , 1.14 , 1.38 , 1.13 , 1.24 , 0.94 , 1.29 , 9.18 
11, 0.00 ,M,Zubimendi,ARS, 5.4 , 20.03 , 0.034 , 0.74 ,100%, 0.76 , 0.69 , 0.61 , 0.74 , 0.60 , 0.66 , 0.50 , 0.68 , 5.23 
12, 0.06 ,M,Eze,ARS, 6.4 , 35.96 , 0.055 , 2.16 ,100%, 1.93 , 2.06 , 1.85 , 2.27 , 1.88 , 2.11 , 1.63 , 2.28 , 16.02 
13, 0.01 ,M,Lewis-Skelly,ARS, 5.5 , 33.03 , 0.027 , 0.95 ,100%, 0.98 , 0.91 , 0.81 , 0.99 , 0.82 , 0.92 , 0.71 , 0.99 , 7.12 
14, 0.07 ,M,Garnacho,AVL, 5.9 , 39.95 , 0.052 , 2.35 ,103%, 1.98 , 2.25 , 2.02 , 2.47 , 2.04 , 1.96 , 2.34 , 1.77 , 16.84 
15, 0.21 ,M,Buendía,AVL, 6.0 , 61.60 , 0.044 , 2.54 ,103%, 4.12 , 3.80 , 2.76 , 3.11 , 2.61 , 2.53 , 2.98 , 2.32 , 24.24 
16, (1.00),M,0,AVL, 100.0 , -   , -   , -   ,103%, -   , -   , -   , -   , -   , -   , -   , -   , -   
17, 0.05 ,M,Goretzka,AVL, 6.0 , 43.03 , 0.038 , 1.69 ,103%, 1.83 , 1.83 , 1.46 , 1.78 , 1.47 , 1.42 , 1.69 , 1.28 , 12.75 
18, 0.03 ,M,Manzambi,AVL, 5.9 , 33.33 , 0.038 , 2.06 ,103%, 0.20 , 0.79 , 1.29 , 2.21 , 1.83 , 1.77 , 2.10 , 1.61 , 11.81 
19, 0.16 ,M,Kamara,AVL, 5.0 , 78.72 , 0.029 , 2.20 ,103%, 3.24 , 3.14 , 2.52 , 2.66 , 2.34 , 2.28 , 2.55 , 2.13 , 20.87 
20, 0.15 ,M,McGinn,AVL, 5.4 , 68.93 , 0.039 , 2.51 ,103%, 3.41 , 3.19 , 2.40 , 2.70 , 2.24 , 2.18 , 2.59 , 1.99 , 20.69 
21, 0.02 ,M,Barkley,AVL, 5.0 , 18.94 , 0.046 , 0.79 ,103%, 1.50 , 1.13 , 0.63 , 0.75 , 0.60 , 0.55 , 0.63 , 0.45 , 6.24 
22, 0.07 ,M,Mbaye,AVL, 6.0 , 53.14 , 0.041 , 2.33 ,103%, 2.23 , 2.53 , 2.02 , 2.48 , 2.05 , 1.99 , 2.38 , 1.81 , 17.50 
23, (1.00),M,0,AVL, 100.0 , -   , -   , -   ,103%, -   , -   , -   , -   , -   , -   , -   , -   , -   
24, 0.03 ,M,João Gomes,AVL, 5.5 , 34.08 , 0.029 , 1.76 ,103%, -   , -   , 1.90 , 2.13 , 1.88 , 1.82 , 2.01 , 1.68 , 11.42 
25, (0.02),M,Mvom Onana,AVL, 5.0 , -   , 0.034 , -   ,103%, -   , -   , -   , -   , -   , -   , -   , -   , -   
26, (0.01),M,Alysson Edward,AVL, 5.0 , 6.03 , 0.029 , 0.23 ,103%, 0.25 , 0.23 , 0.17 , 0.18 , 0.13 , 0.11 , 0.10 , 0.06 , 1.23 
27, (1.00),M,0,AVL, 100.0 , -   , -   , -   ,103%, -   , -   , -   , -   , -   , -   , -   , -   , -   
28, 0.28 ,M,Scott (Alex),BOU, 6.0 , 82.46 , 0.035 , 2.92 ,100%, 3.69 , 3.91 , 3.59 , 3.36 , 3.82 , 3.22 , 3.70 , 3.53 , 28.83 
29, (0.01),M,Tóth,BOU, 5.0 , 6.03 , 0.036 , 0.29 ,100%, 0.27 , 0.29 , 0.23 , 0.18 , 0.20 , 0.12 , 0.13 , 0.09 , 1.50 
30, 0.01 ,M,Brooks,BOU, 5.0 , 14.53 , 0.048 , 0.79 ,100%, 0.74 , 0.84 , 0.70 , 0.60 , 0.73 , 0.52 , 0.63 , 0.56 , 5.31 
31, 0.25 ,M,Rayan,BOU, 6.5 , 76.26 , 0.046 , 3.57 ,100%, 3.58 , 4.07 , 3.46 , 3.13 , 3.91 , 2.96 , 3.77 , 3.54 , 28.42 
32, 0.01 ,M,Christie,BOU, 5.0 , 20.75 , 0.036 , 0.87 ,100%, 0.61 , 0.93 , 0.79 , 0.70 , 0.86 , 0.62 , 0.78 , 0.71 , 6.00 
33, 0.24 ,M,Kluivert,BOU, 6.0 , 64.28 , 0.047 , 2.98 ,100%, 3.56 , 4.01 , 3.28 , 2.95 , 3.72 , 2.79 , 3.59 , 3.36 , 27.26 
34, 0.01 ,M,Cook,BOU, 5.0 , 26.59 , 0.028 , 0.73 ,100%, 1.04 , 0.79 , 0.68 , 0.59 , 0.73 , 0.54 , 0.67 , 0.61 , 5.65 
35, 0.00 ,M,Adli,BOU, 4.9 , 13.26 , 0.046 , 1.02 ,100%, -   , 0.53 , 0.93 , 0.81 , 0.99 , 0.72 , 0.89 , 0.81 , 5.67 
36, 0.33 ,M,Tavernier,BOU, 6.0 , 75.57 , 0.047 , 3.46 ,100%, 4.13 , 4.52 , 3.84 , 3.33 , 4.06 , 3.16 , 3.91 , 3.68 , 30.63 
37, 0.07 ,M,Adams,BOU, 5.0 , 55.11 , 0.029 , 1.72 ,100%, 1.52 , 2.10 , 1.90 , 1.75 , 2.01 , 1.65 , 1.92 , 1.81 , 14.66 
38, (0.01),M,Kroupi,BOU, 7.5 , 3.71 , 0.059 , 3.64 ,100%, -   , -   , -   , -   , -   , 0.30 , 1.33 , 2.77 , 4.40 
